company_id,peak_hours,off_peak_hours,peak_price,off_peak_price,weekend_price,minimum_charge_amount,infrastructure_fee,idle_fee_flag,idle_fee_avg,max_overstay_fee,overstay_fee_start_min,pre_auth_fee_flag,pre_auth_avg_fee,contactless_only_flag,qr_or_app_only_flag
1,06:00-23:00,23:00-06:00,0.57,0.47,0,,,0,,,,1,25,0,0
2,19:00-16:00,16:00-19:00,0.49,0.85,0.49,,,0,,,,1,45,0,0
3,,,,,,,,1,,3.6,0,0,,0,0
4,07:00-00:00,00:00-07:00,0.59,0.39,,,,0,,,,0,,0,0
5,,,,,,,,0,,,,0,,0,0
6,,,,,,,,0,,,,1,30,0,0
7,,,,,,,,1,,10,90,1,30,0,0
8,,,,,,,,1,,10,90,1,30,0,0
9,,,,,0.33,1,,0,,,,1,45,1,0
10,,,,,,,,0,,,,0,,0,0
11,,,,,,1,,0,,,,0,,0,0
12,07:00-21:00,21:00-07:00,0.42,0.42,0.42,,0.5,1,0.02,,,0,,0,0
13,,,,,0.66,,,1,,18,180,1,27.5,0,0
14,,,,,,,,1,,35,60,1,5,0,0
15,,,,,0.5,,,0,,,,0,,0,1
16,,,,,0.5929,,,0,,,,0,,1,0
17,,,,,0.49,,,0,,,,0,,0,1
18,,,,,,,,0,,,,1,55,0,0
